0,0,0
6.383625,-9.28199,0.974753
14.011672,0.07874,-0.003581
-0.007802,-23.18679,0.054524
0.466,-1.54275,-0.004191
-0.044422,11.73983,-0.021144
0.097852,0.2851,0.005082
0.04333,-0.47471,-0.002668
-0.121597,-0.10804,-0.001574
-0.011075,-0.10958,0.001342
0.016772,0.11026,0.000048
0.002008,-0.13709,0.000055
0.00048,-0.03782,0.000033
-0.002215,0.04433,-0.000065
0.002634,0.00543,0.000011
0.001116,0.00009,0.000001
-0.001239,-0.00282,-0.000005
-0.000251,0.00091,0.000003
0.000102,0.00192,0
0.000107,-0.00144,0
-0.000036,-0.00054,0
-0.000074,0.00027,0
0.00005,0.00013,0
0.000027,0.00001,0
-0.000013,-0.00008,0
-0.000007,0.00003,0
0.000001,0.00004,0
0.000004,-0.00002,0
-0.000001,-0.00001,0
-0.000002,0,0
0.000001,0.00001,0
